VOLKRAJ;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;SKRUTINIUM;PORADIMAND;PORADINAHR;POHLAVI
1;4;1;Josef;Nerušil;Mgr.;;35;člen Rady Českého rozhlasu, odborný pracovník Arcibiskupství pražského, scénárista, dokumentarista;Praha;1;1114;1114;A;1356;4,69;N;0;0;1;
1;4;2;Jan;Čížek;;;45;vydavatel, prezident baseballového klubu, iniciátor občanské aktivity 10.000 podpisů pro Desítku;Praha;1;1114;1114;A;810;2,8;N;0;0;2;
1;4;3;Vítězslav;Novák;;;48;oblastní ředitel realitní kanceláře;Praha;1;1114;1114;A;365;1,26;N;0;0;3;
1;4;4;Jiří;Kobza;Mgr.;;65;poslanec, diplomat;Praha;1;1114;1114;A;3149;10,91;A;1;1;0;
1;4;5;Lenka;Zumrová;;;31;administrativní pracovnice;Praha;1;1114;1114;A;449;1,55;N;0;0;4;
1;4;6;Rostislav;Fikerle;;;71;galerista, místopředseda jacht klubu;Praha;1;1114;1114;A;78;0,27;N;0;0;5;
1;4;7;Milan;Urban;Dr.-Ing.;;61;architekt, urbanista;Praha;1;1114;1114;A;346;1,19;N;0;0;6;
1;4;8;Jana;Dvořáková;Mgr. Bc.;;69;středoškolská učitelka;Praha;1;1114;1114;A;309;1,07;N;0;0;7;
1;4;9;Klára;Cingrošová;MUDr.;;54;manažerka klinického hodnocení léčiv, zastupitelka Prahy 4;Praha;1;1114;1114;A;684;2,37;N;0;0;8;
1;4;10;Libor;Pechmann;Ing.;;57;střelmistr, zastupitel Prahy 11;Praha;1;1114;1114;A;287;0,99;N;0;0;9;
1;4;11;Vladimír;Novák;Ing.;;38;manažer obchodu v energetice;Praha;1;1114;1114;A;236;0,81;N;0;0;10;
1;4;12;Vladimíra;Bondarenková;JUDr.;;45;právník, legislativní poradce;Praha;1;1114;1114;A;677;2,34;N;0;0;11;
1;4;13;Petr;Brillant;JUDr.;;49;právník;Praha;1;1114;1114;A;423;1,46;N;0;0;12;
1;4;14;Lucie;Nováková;;;39;administrativní pracovnice;Praha;1;1114;1114;A;238;0,82;N;0;0;13;
1;4;15;Kateřina;Svitáková;;;38;provozní ředitelka bezpečnostní firmy;Praha;1;1114;1114;A;189;0,65;N;0;0;14;
1;4;16;Jan;Žižka;;;67;hudebník, učitel na konzervatoři;Praha;1;1114;1114;A;346;1,19;N;0;0;15;
