OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
35;3;53;"Jaroslav";"Zeman";"";"";59;"senátor, starosta obce Albrechtice v Jizerskıch h.";"Albrechtice v Jizerskıch horách";563528;53;53;"A";16229;34.31;34.31876334877032;2;0;12434;56.42;56.42840934876333;1;0;"Obèanská demokratická strana"
35;4;1114;"Michal";"Švarc";"Mgr.";"";46;"stráník MP Rychnov u Jablonce nad Nisou";"Jablonec nad Nisou";563510;1114;1114;"A";2596;5.48;5.48964875552454;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
35;5;780;"Pavel";"ur";"Mgr.";"";52;"øeditel Mìstského divadla Jablonec n. N. o.p.s.";"Jablonec nad Nisou";563510;780;780;"A";4744;10.03;10.03193131595085;0;0;0;0;0;0;0;"Nová budoucnost pro Libereckı kraj"
35;6;768;"Josef";"Chuchlík";"";"";49;"OSVÈ - podnikatel";"Libštát";577294;99;768;"A";8329;17.61;17.61297553342214;0;0;0;0;0;0;0;"ANO 2011"
35;7;7;"Jindøich";"Berounskı";"";"";48;"systémovı specialista GØ ÈD a.s. Jablonec n. N.";"Jablonec nad Nisou";563510;7;7;"A";2552;5.39;5.3966038613631;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
38;1;720;"Daniela";"Weissová";"";"";57;"dramaturgynì a hereèka";"Turnov";577626;720;720;"A";7080;14.69;14.69519915315801;0;0;0;0;0;0;0;"Èeská pirátská strana"
38;2;53;"Raduan";"Nwelati";"MUDr.";"";52;"primátor Mladé Boleslavi, lékaø ortoped";"Mladá Boleslav";535419;53;53;"A";16317;33.86;33.86745262458747;2;0;11504;61.96;61.96272756651944;1;0;"Obèanská demokratická strana"
38;3;1114;"Josef";"Nos";"";"";69;"uèitel jazykù, spisovatel, skladatel";"Kutná Hora";533955;99;1114;"A";2154;4.47;4.47082753896926;0;0;0;0;0;0;0;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
38;4;7;"Ladislav";"Horák";"doc. MUDr.";"DrSc.";68;"lékaø";"Kosmonosy";570826;7;7;"A";6970;14.46;14.46688391207787;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
38;5;768;"Jiøí";"Müller";"";"";59;"ekonom";"Kosmonosy";570826;768;768;"A";8627;17.9;17.90614167998505;2;0;7062;38.03;38.03727243348055;0;0;"ANO 2011"
38;6;47;"Josef";"Jermáø";"RSDr.";"";66;"ekonom";"Klášter Hradištì nad Jizerou";536024;47;47;"A";4695;9.74;9.74490960792046;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
38;7;721;"Miroslav";"Plch";"";"";65;"majitel firmy UNISPO Bezno s.r.o.";"Sovínky";565539;721;721;"A";2336;4.84;4.84858548330185;0;0;0;0;0;0;0;"TOP 09"
41;1;80;"Martin";"Šveda";"Ing.";"";51;"øeditel IT spoleènosti";"Øehenice";538710;99;80;"A";3222;6.07;6.07878650667874;0;0;0;0;0;0;0;"Nezávislı kandidát"
41;2;768;"Jiøí";"Švadlena";"Ing.";"";65;"místostarosta";"Benešov";529303;768;768;"A";7527;14.2;14.20081503282771;0;0;0;0;0;0;0;"ANO 2011"
41;3;721;"Terezie";"Radomìøská";"Mgr.";"";49;"pøekladatelka, spisovatelka";"Praha 1";500054;721;721;"A";4766;8.99;8.99177420572032;0;0;0;0;0;0;0;"TOP 09"
41;4;53;"Jiøí";"Kozák";"Mgr.";"";42;"øeditel vzdìlávací organizace, vysokoškols.uèitel";"Øíèany";538728;53;53;"A";9169;17.29;17.29869443815561;2;0;6814;39.04;39.04871060171919;0;0;"Obèanská demokratická strana"
