KRZAST;KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLATNOST;SLOZNEPLAT;CPU
12;42;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok - www.cibulka.net;Volte Pr.Blok-www.cibulka.net;PB;1;098;0;0;
12;47;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
12;48;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
13;53;632;Dělnická strana - za zrušení poplatků ve zdravotnictví;Dělnická strana-za zrušení poplatků ve zdravotn.;Děln.str.-zrušení popl.ve zdr.;DS_POPL;2;153,156;0;0;
13;1;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
13;12;1;Křesťanská a demokratická unie - Československá strana lidová;Křesťan.a demokrat.unie-Českosl.strana lidová;Křesť.demokr.unie-Čs.str.lid.;KDU-ČSL;1;001;0;0;
13;18;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
13;19;83;Moravané;Moravané;Moravané;M;1;083;0;0;
13;24;638;Osobnosti kraje;Osobnosti kraje;Osobnosti kraje;OSOBNOST;2;072,129;0;0;
13;27;152;Národní strana;Národní strana;Národní strana;NS;1;152;0;0;
13;31;631;Nejen hasiči a živnostníci pro kraj - www.hnpd.cz, www.sdzp.cz;Nejen has.a živn.pro kraj-www.hnpd.cz,www.sdzp.cz;Nejen hasiči a živn.pro kraj;HAS+ŽIVN;2;165,167;0;0;
13;32;137;Strana zdravého rozumu;Strana zdravého rozumu;Strana zdravého rozumu;SZR;1;137;0;0;
13;33;11;Sdružení pro republiku-Republikánská strana Československa;Sdružení pro republiku-Republikán.strana Českosl.;Sdruž.pro rep.-Republ.str.Čsl.;SPR-RSČ;1;011;0;0;
13;37;155;SDŽ - Strana důstojného života;SDŽ - Strana důstojného života;SDŽ-Strana důstojného života;SDŽ;1;155;0;0;
13;42;98;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;Volte Pravý Blok - www.cibulka.net;Volte Pr.Blok-www.cibulka.net;PB;1;098;0;0;
13;44;200;Demokracie;Demokracie;Demokracie;DK;1;200;0;0;
13;47;53;Občanská demokratická strana;Občanská demokratická strana;Občanská demokratická strana;ODS;1;053;0;0;
13;48;7;Česká strana sociálně demokratická;Česká strana sociálně demokratická;Česká str.sociálně demokrat.;ČSSD;1;007;0;0;
1;53;632;Dělnická strana - za zrušení poplatků ve zdravotnictví;Dělnická strana-za zrušení poplatků ve zdravotn.;Děln.str.-zrušení popl.ve zdr.;DS_POPL;2;153,156;0;0;
1;54;635;Konzervativní koalice;Konzervativní koalice;Konzervativní koalice;KONZKOAL;4;021,024,055,079;0;0;
1;1;47;Komunistická strana Čech a Moravy;Komunistická strana Čech a Moravy;Komunistická str.Čech a Moravy;KSČM;1;047;0;0;
1;5;640;STŘEDOČEŠI;STŘEDOČEŠI;STŘEDOČEŠI;STŘEDOČ.;3;040,102,103;0;0;
1;9;166;"Nezávislí starostové pro kraj";"Nezávislí starostové pro kraj";"Nezáv.starostové pro kraj";"NSK";1;166;0;0;
1;18;5;Strana zelených;Strana zelených;Strana zelených;SZ;1;005;0;0;
