ESTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;STATOBCAN;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;PORADIMAND;PORADINAHR
9;23;"Petr";"Kubeš";"Ing. Bc.";"";30;"CZ";"vedoucí logistik";"atec";566985;47;47;"A";467;.28;"N";0;22
9;24;"Petr";"Havránek";"Ing.";"";41;"CZ";"manaer";"Studénka";599921;47;47;"A";555;.33;"N";0;23
9;25;"Kvìta";"Matušovská";"Ing.";"";34;"CZ";"poslankynì Parlamentu ÈR, dopravní inenırka";"Javorník";529851;47;47;"A";1031;.62;"N";0;24
9;26;"Jiøí";"Grünbauer";"Ing.";"";63;"CZ";"øeditel zdravotnického zaøízení";"Pøíbram";539911;93;47;"A";532;.32;"N";0;25
9;27;"René";"Èíp";"Ing.";"";44;"CZ";"ekonom";"Ostrava";4;47;47;"A";987;.59;"N";0;26
9;28;"Jan";"Klán";"Mgr.";"";36;"CZ";"sociolog a analytik";"Kutná Hora";533955;47;47;"A";755;.45;"N";0;27
10;1;"Tomáš";"Vandas";"Mgr.";"";50;"CZ";"pøedseda DSSS a podnikatel";"Ústí nad Labem";5;156;156;"A";702;16.08;"N";0;0
10;2;"Oto";"Zaremba";"";"";62;"CZ";"olympijskı vítìz a sportovní konzultant";"Havíøov";555088;156;156;"A";346;7.93;"N";0;0
10;3;"Jiøí";"Štìpánek";"Mgr.";"";47;"CZ";"vıkonnı místopøedseda DSSS";"Plzeò";2;156;156;"A";129;2.95;"N";0;0
10;4;"Alena";"Poláèková";"";"";58;"CZ";"podnikatelka";"Tınec nad Sázavou";530841;156;156;"A";56;1.28;"N";0;0
10;5;"Roman";"Pospíšil";"";"";52;"CZ";"zastupitel mìsta";"Vìtøní";545830;156;156;"A";73;1.67;"N";0;0
10;6;"Jindøich";"Svoboda";"";"";34;"CZ";"radní mìsta";"Duchcov";567515;156;156;"A";58;1.32;"N";0;0
10;7;"Jiøina Niké";"Hájek";"";"DiS.";38;"CZ";"státní zamìstnanec";"Praha";1;156;156;"A";37;.84;"N";0;0
10;8;"Jiøí";"Poledno";"";"";72;"CZ";"chemik";"Ostrava";4;156;156;"A";31;.71;"N";0;0
10;9;"Libor";"Sojka";"";"";63;"CZ";"podnikatel";"Davle";539163;156;156;"A";8;.18;"N";0;0
10;10;"Tomáš";"Kozák";"";"";38;"CZ";"stavební podnikatel";"Nové Hamry";506494;156;156;"A";42;.96;"N";0;0
10;11;"Martina";"Blašková";"Bc.";"";50;"CZ";"asistentka jednatele spoleènosti";"Cheb";554481;156;156;"A";38;.87;"N";0;0
10;12;"Ladislav";"Malı";"Mgr.";"";73;"CZ";"katolickı aktivista";"Praha";1;99;761;"A";26;.59;"N";0;0
10;13;"Vladimír";"Jirásek";"";"";58;"CZ";"øidiè";"Láznì Bohdaneè";574767;156;156;"A";30;.68;"N";0;0
10;14;"Petr";"Borna";"";"";51;"CZ";"podnikatel";"Ostrava";4;156;156;"A";36;.82;"N";0;0
10;15;"Jan";"Høivna";"";"";29;"CZ";"vıpravèí SDC";"Tınec nad Sázavou";530841;156;156;"A";37;.84;"N";0;0
10;16;"Vilém";"Fronèek";"";"";56;"CZ";"podnikatel";"Ostrava";4;156;156;"A";25;.57;"N";0;0
10;17;"Erik";"Lamprecht";"";"";31;"CZ";"marketingovı a obchodní manaer";"Brno";3;156;156;"A";39;.89;"N";0;0
10;18;"Martin";"Aubrecht";"";"DiS.";34;"CZ";"pøedseda Dìlnické mládee";"Mìlník";534676;156;156;"A";53;1.21;"N";0;0
10;19;"Nela";"Veselá";"";"";21;"CZ";"pøekladatelka";"Praha";1;156;156;"A";67;1.53;"N";0;0
10;20;"Karel";"Køivánek";"";"";54;"CZ";"dìlník";"Praha";1;156;156;"A";28;.64;"N";0;0
10;21;"Štìpán";"Kalua";"";"";63;"CZ";"zamìstnanec VLS";"Vìtøní";545830;156;156;"A";19;.43;"N";0;0
10;22;"Tomáš";"Vejvoda";"";"";43;"CZ";"øidiè MKD";"Nejdek";555380;156;156;"A";34;.77;"N";0;0
10;23;"Petr";"Štyndl";"";"";34;"CZ";"zastupitel obce";"Vír";597074;156;156;"A";15;.34;"N";0;0
10;24;"Jakub";"Vršovskı";"Bc.";"";30;"CZ";"øidiè";"Duchcov";567515;156;156;"A";36;.82;"N";0;0
10;25;"Jaroslav";"Dupák";"";"";63;"CZ";"numismatik";"Pøíbram";539911;156;156;"A";15;.34;"N";0;0
10;26;"Eva";"Novotná";"";"";40;"CZ";"dìlnice";"Vìtøní";545830;156;156;"A";76;1.74;"N";0;0
10;27;"Martin";"Vrtiška";"";"";48;"CZ";"fotbalovı trenér";"Ústí nad Labem";5;1021;156;"A";43;.98;"N";0;0
10;28;"Jiøí";"Holoubek";"";"";49;"CZ";"podnikatel";"Praha";1;156;156;"A";13;.29;"N";0;0
11;1;"Miroslav";"Sládek";"PhDr.";"";68;"CZ";"bojovník proti bezpráví a totalitì";"Brno";3;1125;1125;"A";1294;30.2;"N";0;0
11;2;"Zdenìk";"Krampera";"";"";67;"CZ";"poslanec PS PÈR v letech 1992-1998, antikváø";"Praha";1;1125;1125;"A";147;3.43;"N";0;0
11;3;"Tomáš";"Franìk";"";"";32;"CZ";"podnikatel";"Tınec nad Sázavou";530841;1125;1125;"A";65;1.51;"N";0;0
11;4;"Kamil";"Sedláèek";"";"";48;"CZ";"operátor dopravy";"Bohumín";599051;1125;1125;"A";19;.44;"N";0;0
